DDPG_Reward_BS_7_Ant_2,Oracle_Reward_BS_7_Ant_2
7.17,14.28
7.24,13.61
12.04,13.91
10.33,12.7
5.49,14.82
2.05,13.83
1.68,13.73
3.15,14.16
3.61,14.24
3.46,13.47
7.64,14.41
6.03,14.67
2.83,14.09
-0.19,13.84
1.17,14.82
3.59,13.92
2.63,14.11
4.58,14.57
5.98,13.21
3.47,12.81
3.61,14.49
6.87,13.41
5.35,14.28
4.16,13.82
3.58,14.87
4.75,12.81
8.92,12.73
10.13,13.55
7.96,13.64
8.23,14.87
7.9,14.26
7.29,13.13
5.36,14.38
6,12.78
9.78,14.61
9.35,13.92
6.26,13.58
6.06,13.98
4.46,13.45
4.01,14.04
6.49,13.59
6.31,13.72
6.24,13.12
5.09,13.79
4.51,13.07
7.33,14.53
7.49,13.36
4.37,14.63
4.11,13.21
3.31,12.33
5.15,13.32
6.41,13.83
6.19,13.49
5.22,13.33
6.89,13.19
7.66,15.52
7.49,13.66
7.51,14.22
6.89,13.41
7.78,13.47
8.67,13.79
7.93,14.84
8.12,14.55
6.21,15.41
7.97,13.82
5.98,14.31
5.46,12.68
5.92,14.42
5.86,14.02
6.46,13.64
7.45,14.03
7.51,12.16
8.83,14.05
7.74,13.63
8.65,15.51
7.98,12.65
9.65,14.62
7.45,13.84
7.74,14.57
5.81,14.38
7.36,13.02
8.24,13.32
7.86,13.95
6.35,13.78
6.36,14.57
6.46,14
10.87,13.39
8.29,13.85
9.67,13.49
10.3,13.99
11.98,15.02
11.11,13.47
10.15,12.71
9.98,13.73
10.88,13.98
8.76,13.3
9.48,12.72
9.91,14.29
7.95,14.26
8.26,13.38
8.56,13.07
10.68,14.55
9.01,15.26
9.11,14.04
7.8,13.8
8.56,14.46
5.94,14.08
9.89,13.78
8.05,12.29
7.63,13.56
7.05,13.92
7.86,14.24
9.93,14.09
7.33,14.58
7.21,13.84
6.86,13.69
7.55,12.96
8.12,13.7
7.48,13.85
8.46,14.16
9.52,13.67
9.95,13.29
7.86,13.68
6.99,14.2
8.16,12.99
6.11,14.54
8.75,13.3
8.46,13.98
10.3,14.65
9.48,13.68
6.69,12.21
8.83,13.34
8.62,12.7
7.48,12.23
7.69,14.65
7.5,12.4
8.36,14.67
8.32,13.01
8.07,13.63
7.83,13.37
8.06,14.1
9.66,14.18
9.87,14.22
10.46,13.2
10.84,15.96
10.6,12.79
10.36,12.31
11.51,14.08
10.18,12.68
10.42,13.14
11.45,14.97
8.6,14.11
9.7,14.37
9.76,13.03
7.96,14.52
8.91,13.22
9.36,13.9
8.9,14.69
10.49,15.62
10.07,14.17
9.71,13.48
10.94,13.01
9.63,14.31
9.17,13.79
8.89,11.87
9.13,13.57
9.2,13.6
9.71,13.21
10.03,15.69
9.69,14.5
9.11,13.5
9.3,13.73
10.03,13.3
9.88,14.07
10.51,14.15
10.89,13.41
9.62,12.61
9.37,14.13
10.99,14.42
10.69,13.59
10.28,13.55
8.76,13.59
9.53,13.74
9.04,13.53
8.28,13.82
9.57,12.86
8.56,12.96
9.7,12.57
7.89,13.57
11.04,14.85
10.6,13.62
9.38,12.76
10.29,13.4
8.3,13.19
8.85,14.72
10.49,13.25
9.96,13.52
10.18,14.85
10.17,14.15
10.85,14.19
10.14,13.38
8.1,12.67
9.61,14.8
9.56,14.22
10.74,12.52
9.9,13.15
10.29,13.85
9.83,13.98
9.15,14.23
9.96,14.57
9.76,13.82
9.06,15.06
9.72,13.73
10.39,13.1
12,14.67
9.74,14.18
11.01,15.05
9.79,12.02
9.65,13.47
10.6,13.59
11.04,13.59
10.22,14.15
9.53,12.06
10.35,14.71
10.12,12.56
10.02,14.34
10.67,13.05
10.84,13.03
8.97,12.81
9.41,13.64
10.34,14.36
10.22,14.34
10.11,14.39
9.98,13.36
11.21,12.92
9.31,12.97
9.84,12.14
8.5,11.67
9.74,12.42
11.63,14.01
9.41,13.87
8.84,13.95
10.72,13.44
10.45,14.1
10.42,14.95
9.47,13.02
10.15,14.92
11.33,14.6
10.64,15.4
9.54,14.18
7.61,14.18
7.57,13.41
9.2,13.99
8.85,13.78
9.07,15.02
9.49,13.41
9.19,12.89
9.36,12.81
9.33,13.44
9.77,13.99
9.17,13.49
9.69,14.73
9.64,12.95
10.21,14.92
8.75,13.96
10.85,13.71
10.9,14.07
10.66,14.4
7.93,12.62
9.02,15.46
9.99,14.38
8.75,14.54
8.99,14.48
10.3,13.98
10.11,15
8.96,14.59
8.08,13.46
9.95,14.39
8.42,12.63
9.74,14.97
8.46,13.24
11.52,13.56
9.54,14.57
8.69,14.27
8.96,15
8.89,14.09
8.24,13.21
9.39,14.48
11.11,15.74
9.61,15.04
8.65,13.6
7.91,13.39
7.42,14.6
7.81,14.56
8.26,12.58
9.16,13.17
8.26,14.29
8.09,12.66
9.45,13.99
8.7,14.44
7.16,13.52
8.85,14.47
8.73,14.04
9.28,14.72
6.78,12.89
8.09,14.13
8.63,14.53
8.94,14.26
10.3,14.1
7.43,14.37
8.88,12.9
7.52,14.03
8.9,15.18
9.47,14.51
9.53,13.86
7.92,12.6
7.74,13.97
9.87,13.9
9.54,13.95
9,14.59
10.03,14.84
8.68,14.81
9.03,13.58
8.99,13.91
9.78,13.08
8.6,13.4
8.1,14
11.01,14.51
9.48,14.17
10.68,13.82
8.78,13.47
8.91,14.28
8.62,13.55
8.71,13.96
7.66,12.62
8.73,14.16
9.56,13.86
9.12,14.77
10.9,14.52
9.19,13.67
8.47,13.49
10.76,14.07
8.9,14.26
7.87,13.79
10.22,14.61
7.05,14.41
9.23,13.6
7.33,12.55
8.89,14.82
8.32,12.81
8.91,13.53
8.46,13.82
8.64,13.53
9.73,14.56
8.69,13.4
9.37,13.51
8.34,13.75
10.66,14.32
8.73,13.19
10.27,13.77
10.44,13.58
10.14,13.97
9.01,13.53
8.66,13.36
9,13.69
9.79,13.85
11.01,13.81
8.98,12.16
11.38,15.39
10.71,13.91
9,13.6
9.91,13.55
9.91,14.33
10.89,14.53
9.75,12.88
8.83,14.76
8.66,13.12
10.19,13.45
10.19,15.57
9.78,13.42
8.61,13.59
8.57,13.69
7.99,12.75
9.69,14.02
10.35,14.39
8.92,14.23
9.24,14.31
10.46,14.82
8.9,12.46
10.27,14.4
8.01,14.22
9.59,13.86
10.38,13.74
9.12,14.22
9.66,13.31
9.17,13.9
9.24,13.98
8.99,13.6
9.9,14.88
10.63,14.13
10.08,13.69
8.85,13.13
10.04,12.63
10.32,15.09
9.9,14.42
10.95,12.85
10.92,15.84
11.51,14.35
10.28,12.61
10.47,14.82
9.98,14.32
11.09,14.59
9.88,12.75
10.32,13.67
9.65,13.93
8.23,13.26
10.16,14.28
10.66,13.97
10.93,13.89
8.66,14.1
8.18,14.35
9.97,14.17
10.67,14.71
10.15,13.61
9.99,14.06
11.03,14.57
8.38,14.38
8.85,13.16
9.78,14.88
9.21,13.59
11.82,13.98
11.48,14.5
10.73,13.76
9.63,13.5
9.94,13.81
9.2,14.32
9.66,11.54
9.9,13.64
9.86,14.02
8.71,13.34
9.47,13.29
9.38,14.4
9.53,13.6
10.17,14.77
8.85,13.42
9.72,13.64
9.46,13.9
11.1,13
8.96,12.98
9.26,12.48
10.7,13.8
8.55,13.9
9.38,13.7
10.13,14.01
9.6,14.42
9.45,13.22
9.42,12.9
10.24,12.65
9.49,14.76
9.35,13.24
11.43,14.17
9.65,13.76
11.17,13.6
10.65,15.18
9.52,13.45
8.93,12.84
8.63,12.63
9.81,13.94
11.49,14.01
8.53,15.65
10.69,14.27
9.32,14.19
7.57,12.7
10.35,14
8.87,13.08
8.65,14.03
9.73,14.97
9.77,13.73
9.97,13.44
9.77,13.32
9.1,13.67
9.2,12.91
10.87,14.85
9.86,14.18
9.2,12.68
8.93,12.44
9.48,14.05
9.05,13.34
9.51,12.87
7.4,12.5
10.41,14.22
10.06,14.69
7.68,14.49
9.62,14.55
9.83,12.41
9.79,14.76
10.25,15.32
10.54,14
8.6,13.05
10.93,13.97
8.43,12.83
9.59,14.11
10.38,14.48
10.89,13.97
9.84,15.31
10.99,13.78
8.42,13.5
9.74,13.42
9.67,13.11
10.92,13.06
9.76,14.07
9.01,13.42
9.96,13.21
8.44,14.86
9.38,14.1
8.93,13.72
10.65,14.28
10.04,14.3
9.47,14.33
9.42,13.77
9.82,13.32
9.61,13.08
8.99,13.55
11.65,13.81
8.27,12.61
11.06,14.36
10.09,14.55
9.59,13.73
9.99,13.22
9.77,12.29
9.72,14.84
9.82,15.37
9.64,13.58
10.16,14.24
9.38,13.09
9.37,13.11
9.82,12.34
9.87,13.9
10.42,14.45
9.8,12.55
9.73,13.43
9.91,13.49
10.31,14
8.97,12.46
10.03,14.01
10.17,15.02
9.26,12.91
10.03,13.95
9.64,13.23
10.62,14.32
10.44,13.64
10.36,13.39
10.36,14.11
11.46,14.58
10.95,13.5
10.06,12.96
9.37,13.74
10.81,14.71
10.04,13.09
9.39,14.89
10.22,13.96
11.09,13.67
10.29,14.03
10.73,13.29
11.51,13.97
9.49,13.01
8.81,14.09
9.38,12.94
10.78,15.29
9.75,12.48
10.71,13.34
9.34,14.05
9.42,13.14
9,13.75
10.05,13.16
10.69,13.87
11.49,13.83
10.69,13.67
9.74,14.02
9.5,13.65
10.03,14.74
11.26,14.84
7.87,12.29
10.97,12.9
9.51,13.22
10.43,13.87
9.62,13.44
9.68,12.88
10.26,12.72
9.04,14.15
10.62,14.18
10.14,13.72
10.36,14.5
9.68,14.04
9.4,13.64
10.1,11.8
9.31,13.91
11.41,13.66
10.66,13.98
9.48,13.97
9.56,14.9
8.92,13.68
9.06,12.27
9.78,13.25
9.95,14.72
8.89,13.49
8.89,13.71
11.03,12.63
10.64,15.24
10.13,13.69
9.24,12.95
8.21,14.69
10.41,14.43
9.82,13.49
9.54,13.08
9.26,13.12
11.09,15.28
10.98,13.73
8.94,12.73
10.27,14.24
10.95,12.71
10.41,13.77
9.57,13.76
9.82,13.49
